team1,team2,winner,margin,ground,match_date,match_id
England,New Zealand,New Zealand,9 wickets,Ahmedabad,"Oct 5, 2023",1
Netherlands,Pakistan,Pakistan,81 runs,Hyderabad,"Oct 6, 2023",2
Afghanistan,Bangladesh,Bangladesh,6 wickets,Dharamsala,"Oct 7, 2023",3
South Africa,Sri Lanka,South Africa,102 runs,Delhi,"Oct 7, 2023",4
India,Australia,India,6 wickets,Chennai,"Oct 8, 2023",5
Netherlands,New Zealand,New Zealand,99 runs,Hyderabad,"Oct 9, 2023",6
Bangladesh,England,England,137 runs,Dharamsala,"Oct 10, 2023",7
Pakistan,Sri Lanka,Pakistan,6 wickets,Hyderabad,"Oct 10, 2023",8
India,Afghanistan,India,8 wickets,Delhi,"Oct 11, 2023",9
Australia,South Africa,South Africa,134 runs,Lucknow,"Oct 12, 2023",10
Bangladesh,New Zealand,New Zealand,8 wickets,Chennai,"Oct 13, 2023",11
India,Pakistan,India,7 wickets,Ahmedabad,"Oct 14, 2023",12
Afghanistan,England,Afghanistan,69 runs,Delhi,"Oct 15, 2023",13
Australia,Sri Lanka,Australia,5 wickets,Lucknow,"Oct 16, 2023",14
Netherlands,South Africa,Netherlands,38 runs,Dharamsala,"Oct 17, 2023",15
Afghanistan,New Zealand,New Zealand,149 runs,Chennai,"Oct 18, 2023",16
India,Bangladesh,India,7 wickets,Pune,"Oct 19, 2023",17
Australia,Pakistan,Australia,62 runs,Bengaluru,"Oct 20, 2023",18
Netherlands,Sri Lanka,Sri Lanka,5 wickets,Lucknow,"Oct 21, 2023",19
England,South Africa,South Africa,229 runs,Wankhede,"Oct 21, 2023",20
India,New Zealand,India,4 wickets,Dharamsala,"Oct 22, 2023",21
Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,"Oct 23, 2023",22
Bangladesh,South Africa,South Africa,149 runs,Wankhede,"Oct 24, 2023",23
Australia,Netherlands,Australia,309 runs,Delhi,"Oct 25, 2023",24
England,Sri Lanka,Sri Lanka,8 wickets,Bengaluru,"Oct 26, 2023",25
Pakistan,South Africa,South Africa,1 wicket,Chennai,"Oct 27, 2023",26
Australia,New Zealand,Australia,5 runs,Dharamsala,"Oct 28, 2023",27
Bangladesh,Netherlands,Netherlands,87 runs,Eden Gardens,"Oct 28, 2023",28
India,England,India,100 runs,Lucknow,"Oct 29, 2023",29
Afghanistan,Sri Lanka,Afghanistan,7 wickets,Pune,"Oct 30, 2023",30
Bangladesh,Pakistan,Pakistan,7 wickets,Eden Gardens,"Oct 31, 2023",31
New Zealand,South Africa,South Africa,190 runs,Pune,"Nov 1, 2023",32
India,Sri Lanka,India,302 runs,Wankhede,"Nov 2, 2023",33
Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,"Nov 3, 2023",34
New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,"Nov 4, 2023",35
Australia,England,Australia,33 runs,Ahmedabad,"Nov 4, 2023",36
India,South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",37
Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,"Nov 6, 2023",38
Afghanistan,Australia,Australia,3 wickets,Wankhede,"Nov 7, 2023",39
England,Netherlands,England,160 runs,Pune,"Nov 8, 2023",40
New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,"Nov 9, 2023",41
Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,"Nov 10, 2023",42
Australia,Bangladesh,Australia,8 wickets,Pune,"Nov 11, 2023",43
England,Pakistan,England,93 runs,Eden Gardens,"Nov 11, 2023",44
India,Netherlands,India,160 runs,Bengaluru,"Nov 12, 2023",45
India,New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",46
Australia,South Africa,Australia,3 wickets,Eden Gardens,"Nov 16, 2023",47
India,Australia,Australia,6 wickets,Ahmedabad,"Nov 19, 2023",48
